Serial Number,sub_district,district,state,total_area_sq_km,estimated_population,current_green_cover_sq_km,targeted_green_cover_sq_km,greenery_deficit_sq_km,annual_mean_temp_c,annual_mean_rainfall_mm,soil_org_carbon_pct,surface_water_sq_km,population_density,greenery_deficit_pct,deficit_score,pop_density_score,priority_index,agro_eco_zone_description,forestry_trees,horticulture_plants,sustainable_cover
17,Nagaur,Nagaur,Rajasthan,4498.55,707149,531.18,1349.57,818.39,25.61,465.04,14.23,3.76,157.1948739,0.181923064,0.545769192,0.004435087,32.92355501,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
18,Jodhpur,Jodhpur,Rajasthan,3587.79,1699878,273.52,1076.34,802.82,25.87,529.39,15.03,5.88,473.795289,0.22376449,0.67129347,0.013367632,40.81231351,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
19,Joshimath,Chamoli,Uttarakhand,4515.33,46246,580.98,1354.6,773.62,-5.39,1078.8,50.64,24.76,10.24199782,0.171331885,0.513995655,0.000288967,30.85129797,Unclassified,N/A,N/A,General local species
20,Kishtwar,Kishtwar,Jammu and Kashmir,7673.27,197841,1535.33,2301.98,766.65,-4.21,798.22,44,52.23,25.78314069,0.099911772,0.299735315,0.000727444,18.01321666,Unclassified,N/A,N/A,General local species
21,Bhuj,Kachchh,Gujarat,5453.33,272246,881.6,1636,754.4,26.77,341,16.8,337.12,49.92289115,0.138337493,0.415012479,0.001408522,24.95708958,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
22,Nokha,Bikaner,Rajasthan,3377.88,400973,496.48,1013.37,516.89,25.9,528.95,13.25,0.17,118.7055194,0.153022014,0.459066041,0.003349151,27.67792851,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
23,Morang,Kinnaur,Himachal Pradesh,1737.88,12307,42.54,521.36,478.82,-7.21,704.08,44.26,11.4,7.081616682,0.275519599,0.826558796,0.0001998,49.60151976,Unclassified,N/A,N/A,General local species
24,Bandipore,Bandipore,Jammu and Kashmir,2528.16,210034,316.18,758.45,442.27,-0.78,419,44.77,66.68,83.07781153,0.174937504,0.524812512,0.002343952,31.58250881,Unclassified,N/A,N/A,General local species
25,Shergarh,Jodhpur,Rajasthan,3932.76,446512,739.02,1179.83,440.81,26.2,460.37,13.31,0.85,113.5365494,0.112086677,0.336260031,0.003203314,20.30373441,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
26,Dhone,Kurnool,Andhra Pradesh,2144.61,382273,222.98,643.38,420.4,27.67,517.83,21.52,16.81,178.2482596,0.196026317,0.588078951,0.005029086,35.48590052,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
27,Kadiri,Anantapur,Andhra Pradesh,3044.32,452630,499.85,913.3,413.45,26.93,512.66,24.32,49.33,148.680165,0.135810296,0.407430888,0.004194853,24.6136474,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
28,Sujangarh,Churu,Rajasthan,2307.87,384993,285.6,692.36,406.76,25.44,576.38,14.91,1.37,166.8174551,0.176249095,0.528747286,0.004706578,31.9131003,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
29,Bhopalgarh,Jodhpur,Rajasthan,1843.82,362331,149.71,553.15,403.44,25.38,520.89,15.51,6,196.5110477,0.218806608,0.656419824,0.005544351,39.60696349,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
30,Pangi,Chamba,Himachal Pradesh,1519.98,17457,66.46,456,389.54,-6.11,828.69,43.72,8.36,11.48501954,0.256279688,0.768839064,0.000324038,46.14330533,Unclassified,N/A,N/A,General local species
31,Jayal,Nagaur,Rajasthan,2173.6,300971,262.92,652.08,389.16,25.41,539.47,14.34,0.94,138.4665992,0.179039382,0.537118145,0.003906688,32.38335624,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
32,Parvatsar,Nagaur,Rajasthan,2307.94,577711,312.42,692.38,379.96,24.88,664.31,15.61,1.11,250.3145662,0.164631663,0.493894989,0.00706236,29.91619373,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
33,Sangla,Kinnaur,Himachal Pradesh,1350.75,13590,45.13,405.23,360.1,-7.03,1156.73,48.88,5.25,10.06107718,0.266592634,0.799777901,0.000283863,47.99802858,Unclassified,N/A,N/A,General local species
34,Taranagar,Churu,Rajasthan,1916.15,202992,239.22,574.85,335.63,25.43,613.86,14.76,0.27,105.9374266,0.175158521,0.525475563,0.002988912,31.64809027,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
35,Pattikonda,Kurnool,Andhra Pradesh,1948.23,353413,254.32,584.47,330.15,27.56,535.55,19.63,40.1,181.4020932,0.169461511,0.508384534,0.005118068,30.70779474,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
36,Jath,Sangli,Maharashtra,2247.75,303477,356.93,674.33,317.4,26.71,515.89,18.51,35.52,135.0136803,0.141207875,0.423623624,0.003809268,25.56978814,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
37,Kalyanpur,Devbhumi Dwarka,Gujarat,1591.04,210680,171.97,477.31,305.34,26.5,752.73,19.12,123.59,132.4165326,0.191912208,0.575736625,0.003735992,34.6936372,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
38,Puh,Kinnaur,Himachal Pradesh,1015.55,7703,1.74,304.67,302.93,-6.72,544.25,40.92,9.5,7.585052435,0.298291566,0.894874698,0.000214004,53.70104208,Unclassified,N/A,N/A,General local species
39,Bhatwari,Uttarkashi,Uttarakhand,984.96,9961,0,295.49,295.49,-8.34,604.4,43.86,4.2,10.11310104,0.300002031,0.900006092,0.00028533,54.01177871,Unclassified,N/A,N/A,General local species
40,Dahivadi,Satara,Maharashtra,1495.74,210817,167.98,448.72,280.74,25.83,662,20.34,30.74,140.9449503,0.187693048,0.563079145,0.003976613,33.94381319,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
41,Kudligi,Bellary,Karnataka,1590.98,307984,197.53,477.29,279.76,25.78,299.4,22.68,13.51,193.5813147,0.175841305,0.527523916,0.005461692,31.86990264,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
42,Rajgarh,Churu,Rajasthan,2127.18,329678,362.62,638.15,275.53,25.17,590.55,15.57,0.62,154.9835933,0.129528296,0.388584887,0.004372698,23.49000114,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
43,Sandur,Bellary,Karnataka,1242.74,262922,99.4,372.82,273.42,26.11,392.22,24.72,26.59,211.5663775,0.22001384,0.660041521,0.005969121,39.84125612,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
44,Didwana,Nagaur,Rajasthan,1620.29,391834,215.83,486.09,270.26,25.13,624.33,14.61,6.9,241.829549,0.166797302,0.500391905,0.006822965,30.29643289,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
45,Lingsugur,Raichur,Karnataka,1972.71,385578,321.92,591.81,269.89,26.89,478.39,18.99,35.51,195.4559971,0.136811797,0.410435391,0.005514584,24.84670681,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
46,Kalyandurg,Anantapur,Andhra Pradesh,2124.74,321969,372.75,637.42,264.67,26.79,323.88,20.31,16.9,151.5333641,0.124565829,0.373697488,0.004275353,22.5928634,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
47,Yelbarga,Koppal,Karnataka,1510.28,262939,198.33,453.08,254.75,25.98,365.8,19.59,11.72,174.0995047,0.168677331,0.506031994,0.004912033,30.55840097,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
48,Dharmavaram,Anantapur,Andhra Pradesh,1899.61,350903,318.42,569.88,251.46,27.72,403.5,20.79,73.61,184.7237064,0.13237454,0.39712362,0.005211784,24.03588856,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
49,Challakere,Chitradurga,Karnataka,2081.1,360154,376.54,624.33,247.79,26.23,301.18,20.78,31.27,173.0594397,0.11906684,0.357200519,0.004882689,21.62733869,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
50,Manvi,Raichur,Karnataka,1823.21,347532,300.31,546.96,246.65,27.34,570.83,19.8,23.64,190.615453,0.135283374,0.405850121,0.005378013,24.56612782,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
51,Sindhnur,Raichur,Karnataka,1607.52,368054,236.01,482.26,246.25,27.56,445.37,20.3,23.05,228.957649,0.153186275,0.459558824,0.006459798,27.83192132,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
52,Jammalamadugu,Y.S.R.,Andhra Pradesh,1578.68,205025,227.92,473.6,245.68,29.13,421.97,23.72,138,129.8711582,0.155623686,0.466871057,0.003664177,28.1588305,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
53,Bilara,Jodhpur,Rajasthan,1461.62,275169,198.29,438.48,240.19,25.37,580.89,15.93,1.16,188.2630232,0.164331358,0.492994075,0.005311642,29.79211018,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
54,Churu,Churu,Rajasthan,1578.64,284960,241.44,473.59,232.15,25.42,684.63,15.37,0.44,180.5098059,0.14705696,0.441170881,0.005092893,26.6739686,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
55,Osiyan,Jodhpur,Rajasthan,3517.61,465281,825.65,1055.28,229.63,25.81,507.62,14.72,1.58,132.2719119,0.065280119,0.195840358,0.003731912,11.89969793,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
56,Ladnun,Nagaur,Rajasthan,1283.71,253549,157.83,385.11,227.28,25.29,625.96,14.8,0.37,197.5126781,0.177049334,0.531148001,0.005572611,32.09178448,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
57,Kushtagi,Koppal,Karnataka,1355.99,266528,180.42,406.8,226.38,26.28,373.62,20.34,7.27,196.5560218,0.166948134,0.500844402,0.00554562,30.27248889,"Very hot, arid climate. (AEZ 2: Western Plains)","Prosopis cineraria (Khejri), Acacia tortilis (Israeli Babul), Tecomella undulata (Rohida)","Ziziphus mauritiana (Ber), Punica granatum (Pomegranate), Emblica officinalis (Amla)","Cenchrus ciliaris (Dhaman grass), Lasiurus sindicus (Sewan grass), Xerophytic shrubs"
58,Chitapur,Gulbarga,Karnataka,1764.43,423935,317.72,529.33,211.61,26.72,719.62,19.89,28.89,240.2673951,0.119931083,0.359793248,0.00677889,21.85875047,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
59,Penukonda,Anantapur,Andhra Pradesh,1765.54,289941,326.51,529.66,203.15,26.77,430.67,22.9,47.97,164.2222776,0.115063946,0.345191839,0.004633358,20.89684467,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
60,Kurnool,Kurnool,Andhra Pradesh,1665.37,790542,296.57,499.61,203.04,28.09,579.76,19.84,27.33,474.6945123,0.121918853,0.365756559,0.013393003,22.48111363,"Hot, semi-arid, alluvial plains. (AEZ 4, 5, 6, 10)","Azadirachta indica (Neem), Dalbergia sissoo (Shisham), Albizia lebbeck (Siris), Butea monosperma (Palash)","Mangifera indica (Mango), Psidium guajava (Guava), Citrus (Lemon/Orange)","Bamboo species, Vetiveria zizanioides (Vetiver grass for soil conservation)"
